project_name,stars_passed,stars,forks,contributors,commits,commiters
danscratch/aws-basic-config,0.5957446808510638,18,3,1,9,1
ministryofjustice/analytics-platform-ops,0.8474114441416893,18,5,19,1467,27
cappetta/SecDevOps-Toolkit,0.44642857142857145,17,11,1,178,3
skeller88/aws-terraform-bootstrap,0.631578947368421,17,6,1,30,1
somleng/somleng-switch,0.91796875,17,6,6,595,5
ris-tlp/audiophile-e2e-pipeline,0.19047619047619047,25,3,1,97,2
PaloAltoNetworks/terraform-aws-vmseries-modules,0.6590909090909091,18,16,18,248,25
xuwang/terraform-hugo-lambda,0.5652173913043478,15,9,2,90,2
ned1313/Terraform-FotD,0.3333333333333333,16,14,1,96,1
apache/accumulo-testing,0.5384615384615384,15,40,22,242,25
iriusrisk/startleft,0.5876923076923077,15,1,18,786,27
lpm0073/cookiecutter-openedx-devops,0.8085106382978723,15,2,2,437,3
jgreat/tf-rancher-2.0,0.5648148148148148,14,6,1,16,1
spkane/todo-for-terraform,0.4782608695652174,14,18,1,60,1
OceanSoftIO/Terraform,0.861003861003861,14,11,1,75,3
chgasparoto/youtube-cleber-gasparoto,0.7666666666666667,14,19,1,40,1
jakeasarus/terraform,0.5675675675675675,13,41,1,75,3
ministryofjustice/modernisation-platform-environments,0.9548022598870056,13,5,30,4097,67
primait/nuvola,0.5609756097560976,40,4,1,2,1
cloudstruct/rocketpool-deploy,0.8620689655172413,12,1,1,85,1
cds-snc/forms-terraform,0.944078947368421,12,4,10,409,15
arehmandev/Terraform-ASGIP,0.6,12,4,1,17,3
juttayaya/devops,0.784375,12,4,1,107,2
chuyskywalker/aws-lambda-github-webhook,0.47619047619047616,12,4,1,16,1
tealtail/wildryde-terraform-serverless,0.3333333333333333,12,3,1,10,2
18F/identity-terraform,0.9204301075268817,11,6,18,446,20
aneoconsulting/ArmoniK,0.9307692307692308,11,9,19,1821,28
robertdebock/terraform-aws-vault,0.8447368421052631,11,6,2,604,3
privacysandbox/fledge-key-value-service,0.8412698412698413,15,1,5,8,6
vishipayyallore/speaker-series-2022,0.34615384615384615,11,4,1,256,2
clojars/infrastructure,0.39436619718309857,11,4,6,91,1
kjagiello/terraform-aws-codepipeline-slack-notifications,0.8095238095238095,10,15,5,17,6
zeroabsolute/Terraform-AWS-ECS,0.4230769230769231,14,10,1,113,1
cloudsoft/aws-cfn-connector-for-terraform,0.45454545454545453,10,2,2,285,3
hands-on-cloud/aws-codepipeline-terraform-cicd-pipeline,0.896551724137931,10,5,1,3,1
raavula/devops,0.64,10,7,2,107,2
projecthorus/sondehub-infra,0.5479876160990712,11,5,3,256,5
mingfang/terraform-kubernetes,0.7668711656441718,10,4,1,201,3
boldare/terraform-modules,0.89501312335958,10,1,6,130,9
asquarezone/TerraformZone,0.47471451876019577,11,196,4,199,4
elbuo8/parcha,0.7066666666666667,9,3,2,10,2
gravitational/teleport-cluster-terraform,0.9036144578313253,12,6,3,11,3
rezen/zap-lambda,0.6842105263157895,9,3,0,19,1
alphagov/tech-ops,0.8235294117647058,9,6,24,722,32
ConsenSys/starknet-snap,0.8913043478260869,9,1,7,14,4
ajaen4/terraform-databricks-aws,0.9730094466936572,8,4,3,72,4
cicdenv/cicdenv,0.8839024390243903,8,2,1,409,2
cloudposse/terraform-aws-kops-state-backend,0.9,8,11,6,13,8
LeoneGarage/terraform,0.8888888888888888,8,4,1,75,3
aws-samples/aws-cicd-patch-management-terraform,0.875,8,9,2,6,2
galexrt/elasticsearch-operator,0.4,8,0,27,792,36
slalom-london/k8s-tutorial,0.55,8,6,3,34,3
szwojtkowski/aws-step-functions-terraform,0.8536585365853658,8,7,1,5,2
