Project Name,Policy ID,Evaluation
snyk/policy-engine,POL92,CHECKOV
snyk/policy-engine,POL96,CHECKOV
snyk/policy-engine,POL98,NONE
snyk/policy-engine,POL99,NONE
cednore/trilium,POL91,BOTH
cednore/trilium,POL92,BOTH
cednore/trilium,POL96,BOTH
cednore/trilium,POL98,BOTH
cednore/trilium,POL99,BOTH
azavea/isprs-potsdam-viz,POL98,NONE
azavea/isprs-potsdam-viz,POL99,NONE
dfds/infrastructure-modules,POL91,BOTH
dfds/infrastructure-modules,POL92,BOTH
f5devcentral/f5-k8s-demo,POL98,NONE
f5devcentral/f5-k8s-demo,POL99,NONE
aws-samples/amazon-guardduty-for-aws-organizations-with-terraform,POL91,BOTH
aws-samples/amazon-guardduty-for-aws-organizations-with-terraform,POL92,BOTH
aws-samples/amazon-guardduty-for-aws-organizations-with-terraform,POL96,BOTH
aws-samples/amazon-guardduty-for-aws-organizations-with-terraform,POL98,BOTH
aws-samples/amazon-guardduty-for-aws-organizations-with-terraform,POL99,BOTH
tkellen/infrastructure,POL34,BOTH
tkellen/infrastructure,POL98,NONE
tkellen/infrastructure,POL99,NONE
JeanMertz/terraform-dcos,POL98,NONE
JeanMertz/terraform-dcos,POL99,NONE
ministryofjustice/analytics-platform-ops,POL91,CHECKOV
ministryofjustice/analytics-platform-ops,POL92,CHECKOV
ministryofjustice/analytics-platform-ops,POL96,CHECKOV
somleng/somleng-switch,POL98,NONE
somleng/somleng-switch,POL99,NONE
ris-tlp/audiophile-e2e-pipeline,POL14,NONE
ris-tlp/audiophile-e2e-pipeline,POL34,NONE
ris-tlp/audiophile-e2e-pipeline,POL98,NONE
ris-tlp/audiophile-e2e-pipeline,POL99,NONE
PaloAltoNetworks/terraform-aws-vmseries-modules,POL98,NONE
PaloAltoNetworks/terraform-aws-vmseries-modules,POL99,NONE
xuwang/terraform-hugo-lambda,POL98,NONE
xuwang/terraform-hugo-lambda,POL99,NONE
spkane/todo-for-terraform,POL98,NONE
spkane/todo-for-terraform,POL99,NONE
OceanSoftIO/Terraform,POL98,NONE
OceanSoftIO/Terraform,POL99,NONE
chgasparoto/youtube-cleber-gasparoto,POL98,NONE
chgasparoto/youtube-cleber-gasparoto,POL99,NONE
jakeasarus/terraform,POL98,NONE
jakeasarus/terraform,POL99,NONE
ministryofjustice/modernisation-platform-environments,POL34,BOTH
primait/nuvola,POL98,NONE
primait/nuvola,POL99,NONE
cloudstruct/rocketpool-deploy,POL98,NONE
cloudstruct/rocketpool-deploy,POL99,NONE
cds-snc/forms-terraform,POL91,BOTH
cds-snc/forms-terraform,POL92,BOTH
cds-snc/forms-terraform,POL96,BOTH
cds-snc/forms-terraform,POL98,BOTH
cds-snc/forms-terraform,POL99,BOTH
arehmandev/Terraform-ASGIP,POL98,NONE
arehmandev/Terraform-ASGIP,POL99,NONE
chuyskywalker/aws-lambda-github-webhook,POL98,NONE
chuyskywalker/aws-lambda-github-webhook,POL99,NONE
tealtail/wildryde-terraform-serverless,POL98,NONE
tealtail/wildryde-terraform-serverless,POL99,NONE
robertdebock/terraform-aws-vault,POL98,NONE
robertdebock/terraform-aws-vault,POL99,NONE
privacysandbox/fledge-key-value-service,POL91,BOTH
privacysandbox/fledge-key-value-service,POL92,BOTH
privacysandbox/fledge-key-value-service,POL96,BOTH
privacysandbox/fledge-key-value-service,POL98,BOTH
privacysandbox/fledge-key-value-service,POL99,BOTH
vishipayyallore/speaker-series-2022,POL98,NONE
vishipayyallore/speaker-series-2022,POL99,NONE
clojars/infrastructure,POL34,NONE
clojars/infrastructure,POL98,NONE
clojars/infrastructure,POL99,NONE
zeroabsolute/Terraform-AWS-ECS,POL34,NONE
zeroabsolute/Terraform-AWS-ECS,POL98,NONE
zeroabsolute/Terraform-AWS-ECS,POL99,NONE
cloudsoft/aws-cfn-connector-for-terraform,POL98,NONE
cloudsoft/aws-cfn-connector-for-terraform,POL99,NONE
hands-on-cloud/aws-codepipeline-terraform-cicd-pipeline,POL91,BOTH
hands-on-cloud/aws-codepipeline-terraform-cicd-pipeline,POL92,BOTH
hands-on-cloud/aws-codepipeline-terraform-cicd-pipeline,POL96,BOTH
hands-on-cloud/aws-codepipeline-terraform-cicd-pipeline,POL98,BOTH
hands-on-cloud/aws-codepipeline-terraform-cicd-pipeline,POL99,BOTH
raavula/devops,POL38,NONE
projecthorus/sondehub-infra,POL98,NONE
projecthorus/sondehub-infra,POL99,NONE
mingfang/terraform-kubernetes,POL91,BOTH
mingfang/terraform-kubernetes,POL92,BOTH
mingfang/terraform-kubernetes,POL96,BOTH
mingfang/terraform-kubernetes,POL98,BOTH
mingfang/terraform-kubernetes,POL99,BOTH
asquarezone/TerraformZone,POL98,NONE
asquarezone/TerraformZone,POL99,NONE
gravitational/teleport-cluster-terraform,POL91,BOTH
gravitational/teleport-cluster-terraform,POL92,BOTH
gravitational/teleport-cluster-terraform,POL96,BOTH
gravitational/teleport-cluster-terraform,POL98,BOTH
gravitational/teleport-cluster-terraform,POL99,BOTH
rezen/zap-lambda,POL91,BOTH
rezen/zap-lambda,POL92,BOTH
rezen/zap-lambda,POL96,BOTH
rezen/zap-lambda,POL98,BOTH
rezen/zap-lambda,POL99,BOTH
alphagov/tech-ops,POL98,NONE
alphagov/tech-ops,POL99,NONE
ajaen4/terraform-databricks-aws,POL91,BOTH
ajaen4/terraform-databricks-aws,POL92,BOTH
ajaen4/terraform-databricks-aws,POL96,BOTH
ajaen4/terraform-databricks-aws,POL98,BOTH
ajaen4/terraform-databricks-aws,POL99,BOTH
cicdenv/cicdenv,POL98,NONE
cicdenv/cicdenv,POL99,NONE
cloudposse/terraform-aws-kops-state-backend,POL91,BOTH
cloudposse/terraform-aws-kops-state-backend,POL92,BOTH
cloudposse/terraform-aws-kops-state-backend,POL96,BOTH
cloudposse/terraform-aws-kops-state-backend,POL98,BOTH
cloudposse/terraform-aws-kops-state-backend,POL99,BOTH
LeoneGarage/terraform,POL91,BOTH
LeoneGarage/terraform,POL92,BOTH
LeoneGarage/terraform,POL96,BOTH
LeoneGarage/terraform,POL98,BOTH
LeoneGarage/terraform,POL99,BOTH
aws-samples/aws-cicd-patch-management-terraform,POL98,NONE
aws-samples/aws-cicd-patch-management-terraform,POL99,NONE
galexrt/elasticsearch-operator,POL98,NONE
galexrt/elasticsearch-operator,POL99,NONE
slalom-london/k8s-tutorial,POL98,NONE
slalom-london/k8s-tutorial,POL99,NONE
szwojtkowski/aws-step-functions-terraform,POL98,NONE
szwojtkowski/aws-step-functions-terraform,POL99,NONE
NHSDigital/spine-core-aws-common,POL91,BOTH
NHSDigital/spine-core-aws-common,POL92,BOTH
NHSDigital/spine-core-aws-common,POL96,BOTH
NHSDigital/spine-core-aws-common,POL98,BOTH
NHSDigital/spine-core-aws-common,POL99,BOTH
stellar/java-stellar-anchor-sdk,POL98,NONE
stellar/java-stellar-anchor-sdk,POL99,NONE
dvargas92495/roamjs-static-site,POL98,NONE
dvargas92495/roamjs-static-site,POL99,NONE
aws-samples/aws-waf-automation-terraform-samples,POL91,BOTH
aws-samples/aws-waf-automation-terraform-samples,POL92,BOTH
