Project Name,Policy ID,Evaluation
cullancarey/terraform-aws-static-s3-website-template,POL101,BOTH
BielosX/AWS-developer,POL55,NONE
BielosX/AWS-developer,POL56,TFSEC
BielosX/AWS-developer,POL65,BOTH
BielosX/AWS-developer,POL101,NONE
ccnmtl/tfmodules,POL101,NONE
nsbno/app-infrastructure,POL101,BOTH
graymeta/terraform-aws-platform,POL55,TFSEC
goehlemichael/terraform-podcast,POL101,NONE
SamirTalwar/monospacedmonologues.com,POL101,NONE
bcgov/myhealthBC-symptom-checker,POL101,BOTH
nagelflorian/terraform-aws-s3-review-apps,POL101,BOTH
azavea/iow-boundary-tool,POL55,TFSEC
azavea/iow-boundary-tool,POL56,TFSEC
azavea/iow-boundary-tool,POL101,BOTH
web-mev/mev-backend,POL55,TFSEC
JesusFilm/core,POL56,TFSEC
determined-ai/determined,POL101,BOTH
wellcomecollection/wellcomecollection.org,POL101,BOTH
hotosm/underpass,POL55,TFSEC
hotosm/underpass,POL56,BOTH
hotosm/underpass,POL101,BOTH
nulib/meadow,POL55,TFSEC
nulib/meadow,POL101,NONE
CMSgov/cms-carts-seds,POL55,NONE
CMSgov/cms-carts-seds,POL101,NONE
JamesMillerBlog/wrapper.js,POL101,BOTH
0mk1/terraform-workshops,POL55,NONE
0mk1/terraform-workshops,POL56,TFSEC
ethanfann/avarts,POL101,NONE
0mk1/gifz-api,POL55,NONE
0mk1/gifz-api,POL56,TFSEC
0mk1/gifz-api,POL101,BOTH
bcgov/workbc-main,POL55,NONE
bcgov/workbc-main,POL56,TFSEC
bcgov/workbc-main,POL101,BOTH
ministryofjustice/opg-digideps,POL55,BOTH
ministryofjustice/opg-digideps,POL56,BOTH
ministryofjustice/opg-digideps,POL65,NONE
ministryofjustice/opg-lpa,POL55,BOTH
ministryofjustice/opg-lpa,POL56,BOTH
ministryofjustice/opg-lpa,POL65,BOTH
