Project Name,Policy ID,Evaluation
Terraform-GUI/terraform-gui,POL25,BOTH
aneoconsulting/ArmoniK.Infra,POL23,CHECKOV
nhsconnect/prm-deductions-ehr-repository,POL23,BOTH
nhsconnect/prm-deductions-ehr-repository,POL76,BOTH
jay-jain/aws-terraform,POL39,NONE
LF-Engineering/insights-datasource-shared,POL23,NONE
LF-Engineering/insights-datasource-shared,POL25,NONE
LF-Engineering/insights-datasource-shared,POL76,NONE
sighupio/fury-eks-installer,POL24,BOTH
bootcamp-team2022/angular-frontend,POL23,CHECKOV
bootcamp-team2022/angular-frontend,POL25,BOTH
bootcamp-team2022/angular-frontend,POL76,NONE
rohits-dev/dev-lab-aws,POL23,BOTH
acidjazz/basal,POL25,BOTH
acidjazz/basal,POL76,CHECKOV
CityOfPhiladelphia/oddt-terraform,POL24,CHECKOV
CityOfPhiladelphia/oddt-terraform,POL25,NONE
tablexi/terraform_modules,POL25,NONE
tablexi/terraform_modules,POL39,NONE
HackYourFuture/infrastructure,POL23,CHECKOV
AgnostiqHQ/covalent-kubernetes-plugin,POL39,NONE
nobl9/build-on-aws-o11y-demo,POL23,BOTH
paulmarsicloud/terraform-aws-openvpn-ephemeral,POL23,BOTH
paulmarsicloud/terraform-aws-openvpn-ephemeral,POL76,CHECKOV
dwp/aws-analytical-env,POL23,BOTH
eana/bitwarden-tf-aws,POL76,CHECKOV
MrrRaph/wavegame-terraform,POL25,BOTH
wei-zhong90/deltalake-aws-poc-demo,POL76,NONE
devopshubproject/aws-catchup,POL23,BOTH
devopshubproject/aws-catchup,POL25,NONE
devopshubproject/aws-catchup,POL39,NONE
devopshubproject/aws-catchup,POL76,CHECKOV
temmyzeus/spotify_airflow_batch_ingestion,POL23,CHECKOV
temmyzeus/spotify_airflow_batch_ingestion,POL25,NONE
lazam/terraform-ansible,POL76,CHECKOV
springboot-angular2-tutorial/micropost-formation,POL24,NONE
springboot-angular2-tutorial/micropost-formation,POL76,CHECKOV
jimroth/ice-terraform-modules,POL25,BOTH
soldierxue/terraformlib,POL25,BOTH
graymeta/terraform-aws-platform,POL24,BOTH
graymeta/terraform-aws-platform,POL76,CHECKOV
glaucius/aws-terraform,POL76,NONE
Cimpress-MCP/terraform,POL25,BOTH
Cimpress-MCP/terraform,POL76,CHECKOV
seigot/tetris_score_server,POL25,BOTH
OctopusDeploy/Sashimi.Terraform,POL25,NONE
cabinetoffice/gender-pay-gap,POL23,BOTH
ameerulislam/terraform,POL23,BOTH
ameerulislam/terraform,POL76,CHECKOV
gitpod-io/gitpod,POL23,BOTH
jetstack/tarmak,POL25,BOTH
hotosm/underpass,POL25,BOTH
hotosm/underpass,POL76,CHECKOV
heldersepu/hs-scripts,POL23,NONE
heldersepu/hs-scripts,POL76,NONE
svthalia/concrexit,POL23,NONE
svthalia/concrexit,POL25,NONE
svthalia/concrexit,POL76,NONE
0mk1/terraform-workshops,POL76,CHECKOV
0mk1/gifz-api,POL76,CHECKOV
signal-ai/terraform-aws-cloudwatch-prometheus,POL76,CHECKOV
refinery-platform/refinery-platform,POL23,BOTH
refinery-platform/refinery-platform,POL76,CHECKOV
ministryofjustice/opg-digideps,POL23,BOTH
ministryofjustice/opg-digideps,POL25,BOTH
ministryofjustice/opg-digideps,POL76,BOTH
ministryofjustice/opg-lpa,POL25,BOTH
