antecedents,consequents,Support,Confidence,Lift
VERY_LOW_commiters,HIGH_RATE,0.3925619834710744,0.43778801843317977,1.0186990428925913
HIGH_RATE,VERY_LOW_commiters,0.3925619834710744,0.9134615384615385,1.0186990428925913
VERY_LOW_commits,HIGH_RATE,0.4132231404958678,0.4329004329004329,1.0073260073260073
HIGH_RATE,VERY_LOW_commits,0.4132231404958678,0.9615384615384616,1.0073260073260073
VERY_LOW_forks,HIGH_RATE,0.4214876033057851,0.4377682403433476,1.0186530207989435
HIGH_RATE,VERY_LOW_forks,0.4214876033057851,0.9807692307692307,1.0186530207989435
VERY_LOW_stars,HIGH_RATE,0.3347107438016529,0.4426229508196721,1.0299495586380831
HIGH_RATE,VERY_LOW_stars,0.3347107438016529,0.7788461538461539,1.0299495586380831
VERY_LOW_commits,MEDIUM_RATE,0.48760330578512395,0.5108225108225107,1.013270882123341
MEDIUM_RATE,VERY_LOW_commits,0.48760330578512395,0.9672131147540983,1.0132708821233412
VERY_LOW_stars,MEDIUM_RATE,0.384297520661157,0.5081967213114754,1.0080623488309595
MEDIUM_RATE,VERY_LOW_stars,0.384297520661157,0.7622950819672132,1.0080623488309595
VERY_LOW_commits,VERY_LOW_commiters,0.8801652892561983,0.9220779220779219,1.0283080974325212
VERY_LOW_commiters,VERY_LOW_commits,0.8801652892561983,0.9815668202764977,1.0283080974325214
VERY_LOW_forks,VERY_LOW_commiters,0.8842975206611571,0.9184549356223176,1.024267716223967
VERY_LOW_commiters,VERY_LOW_forks,0.8842975206611571,0.9861751152073733,1.024267716223967
VERY_LOW_stars,VERY_LOW_commiters,0.7272727272727273,0.9617486338797814,1.072549167736899
VERY_LOW_commiters,VERY_LOW_stars,0.7272727272727273,0.8110599078341014,1.072549167736899
VERY_LOW_commits,VERY_LOW_forks,0.9256198347107438,0.9696969696969697,1.0071530758226037
VERY_LOW_forks,VERY_LOW_commits,0.9256198347107438,0.9613733905579399,1.0071530758226037
VERY_LOW_commits,VERY_LOW_stars,0.7396694214876033,0.7748917748917749,1.0247202706219098
VERY_LOW_stars,VERY_LOW_commits,0.7396694214876033,0.9781420765027322,1.0247202706219098
VERY_LOW_forks,VERY_LOW_stars,0.7520661157024794,0.7811158798283262,1.0329510541992073
VERY_LOW_stars,VERY_LOW_forks,0.7520661157024794,0.994535519125683,1.0329510541992073
"VERY_LOW_commits, VERY_LOW_commiters",HIGH_RATE,0.3884297520661157,0.4413145539906103,1.0269050198627663
"VERY_LOW_commits, HIGH_RATE",VERY_LOW_commiters,0.3884297520661157,0.94,1.048294930875576
"VERY_LOW_commiters, HIGH_RATE",VERY_LOW_commits,0.3884297520661157,0.9894736842105262,1.0365914786967416
VERY_LOW_commits,"VERY_LOW_commiters, HIGH_RATE",0.3884297520661157,0.4069264069264069,1.0365914786967418
VERY_LOW_commiters,"VERY_LOW_commits, HIGH_RATE",0.3884297520661157,0.4331797235023041,1.0482949308755758
HIGH_RATE,"VERY_LOW_commits, VERY_LOW_commiters",0.3884297520661157,0.9038461538461537,1.0269050198627663
"VERY_LOW_forks, VERY_LOW_commiters",HIGH_RATE,0.3925619834710744,0.4439252336448598,1.032979870596693
"VERY_LOW_forks, HIGH_RATE",VERY_LOW_commiters,0.3925619834710744,0.931372549019608,1.038673533929701
"VERY_LOW_commiters, HIGH_RATE",VERY_LOW_forks,0.3925619834710744,1.0,1.03862660944206
VERY_LOW_forks,"VERY_LOW_commiters, HIGH_RATE",0.3925619834710744,0.40772532188841204,1.03862660944206
VERY_LOW_commiters,"VERY_LOW_forks, HIGH_RATE",0.3925619834710744,0.43778801843317977,1.038673533929701
HIGH_RATE,"VERY_LOW_forks, VERY_LOW_commiters",0.3925619834710744,0.9134615384615385,1.032979870596693
"VERY_LOW_stars, VERY_LOW_commiters",HIGH_RATE,0.32231404958677684,0.4431818181818181,1.0312499999999998
"VERY_LOW_stars, HIGH_RATE",VERY_LOW_commiters,0.32231404958677684,0.9629629629629629,1.0739033964840417
"VERY_LOW_commiters, HIGH_RATE",VERY_LOW_stars,0.32231404958677684,0.8210526315789473,1.0857635893011215
VERY_LOW_stars,"VERY_LOW_commiters, HIGH_RATE",0.32231404958677684,0.4262295081967213,1.0857635893011215
VERY_LOW_commiters,"VERY_LOW_stars, HIGH_RATE",0.32231404958677684,0.35944700460829493,1.0739033964840417
HIGH_RATE,"VERY_LOW_stars, VERY_LOW_commiters",0.32231404958677684,0.7499999999999999,1.0312499999999998
"VERY_LOW_commits, HIGH_RATE",VERY_LOW_forks,0.4090909090909091,0.99,1.0282403433476395
"VERY_LOW_commits, VERY_LOW_forks",HIGH_RATE,0.4090909090909091,0.44196428571428575,1.0284168956043958
"VERY_LOW_forks, HIGH_RATE",VERY_LOW_commits,0.4090909090909091,0.9705882352941178,1.0168067226890758
VERY_LOW_commits,"VERY_LOW_forks, HIGH_RATE",0.4090909090909091,0.4285714285714286,1.0168067226890758
HIGH_RATE,"VERY_LOW_commits, VERY_LOW_forks",0.4090909090909091,0.951923076923077,1.0284168956043955
VERY_LOW_forks,"VERY_LOW_commits, HIGH_RATE",0.4090909090909091,0.424892703862661,1.0282403433476395
"VERY_LOW_commits, VERY_LOW_stars",HIGH_RATE,0.3305785123966942,0.446927374301676,1.0399656209712076
"VERY_LOW_commits, HIGH_RATE",VERY_LOW_stars,0.3305785123966942,0.8,1.0579234972677596
"VERY_LOW_stars, HIGH_RATE",VERY_LOW_commits,0.3305785123966942,0.9876543209876544,1.0346854791299236
VERY_LOW_commits,"VERY_LOW_stars, HIGH_RATE",0.3305785123966942,0.3463203463203463,1.0346854791299236
VERY_LOW_stars,"VERY_LOW_commits, HIGH_RATE",0.3305785123966942,0.4371584699453552,1.0579234972677596
HIGH_RATE,"VERY_LOW_commits, VERY_LOW_stars",0.3305785123966942,0.7692307692307693,1.0399656209712076
"VERY_LOW_forks, VERY_LOW_stars",HIGH_RATE,0.3347107438016529,0.44505494505494503,1.0356086221470835
"VERY_LOW_forks, HIGH_RATE",VERY_LOW_stars,0.3347107438016529,0.7941176470588236,1.0501446480231438
"VERY_LOW_stars, HIGH_RATE",VERY_LOW_forks,0.3347107438016529,1.0,1.03862660944206
VERY_LOW_forks,"VERY_LOW_stars, HIGH_RATE",0.3347107438016529,0.34763948497854075,1.03862660944206
VERY_LOW_stars,"VERY_LOW_forks, HIGH_RATE",0.3347107438016529,0.4426229508196721,1.0501446480231438
HIGH_RATE,"VERY_LOW_forks, VERY_LOW_stars",0.3347107438016529,0.7788461538461539,1.0356086221470837
"VERY_LOW_commits, MEDIUM_RATE",VERY_LOW_commiters,0.44214876033057854,0.9067796610169492,1.0112473638990862
"VERY_LOW_commiters, MEDIUM_RATE",VERY_LOW_commits,0.44214876033057854,0.9816513761467891,1.0283966797728266
