Repository Full Name,Repository Description,Star Count,Fork Count,Repository Licence,Main Language,Language Repartition
ParisaMousavi/enterprise-acr,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
princehen/repo1,My terraform code,0,0,NO LICENSE,HCL,{'HCL': 100.0}
hashicorp-demo-lab/demo-bootstrap,,2,0,NO LICENSE,Python,"{'Python': 37.12, 'HCL': 31.78, 'HTML': 22.74, 'Shell': 5.75, 'CSS': 2.46, 'Dockerfile': 0.15}"
ViswanathAla/tf-modules-Azurepoc,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
pdevops29/yamlrepo,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
noeljohnk007/kubernetes,,0,0,NO LICENSE,Shell,"{'Shell': 88.64, 'HCL': 10.94, 'Batchfile': 0.42}"
casdeone/terraform-azure-sandbox,terraform azure sandbox,0,0,NO LICENSE,HCL,{'HCL': 100.0}
dani-at-ibm/terraform-azure-devops,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
jksprattler/azure-security,"Azure AD, RBAC, Policy, Secure vWAN, hybrid AD design proof of concepts/labs/demos using Terraform, Python",0,1,NO LICENSE,HCL,"{'HCL': 87.0, 'Python': 13.0}"
giri347/single_code_two_azurewebapps,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
Akp212/KPMG-Challanges,,0,0,NO LICENSE,HCL,"{'HCL': 96.52, 'Shell': 3.48}"
yogikondeboina/lkg,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
casdeone/terraform-azure-dev-budgets,terraform-azure-dev-budgets,0,0,NO LICENSE,HCL,{'HCL': 100.0}
40net-cloud/fortinet-azure-solutions,A set of Azure Templates for getting you started in Azure with Fortinet solutions. This repository is a place for beta releases and work on the latest templates to be published on github.com/fortinet or custom templates.,40,55,MIT License,HCL,"{'HCL': 51.82, 'Shell': 26.07, 'PowerShell': 13.79, 'Smarty': 7.07, 'Python': 1.24}"
Arsenikki/kuberseni-gitops,🚀 GitOps supercharged Kubernetes-based homelab ⛵,0,0,MIT License,HCL,"{'HCL': 77.48, 'Jinja': 22.52}"
casdeone/terraform-azure-compute,terraform azure compute ,0,0,NO LICENSE,HCL,{'HCL': 100.0}
